query,intent,department,priority,sentiment
My resume was not shortlisted without any feedback.,Placement,Placement Cell,Medium,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
Wi-Fi in the hostel has not been working for 28 days.,Hostel,Hostel Department,High,Negative
Is there an anonymous complaint submission option?,Complaint,Student Affairs,Low,Neutral
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,Medium,Negative
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,Medium,Negative
The anti-ragging cell responded to my complaint immediately.,Complaint,Student Affairs,Low,Positive
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
My transaction failed but the amount was debited from my account.,Finance,Finance Department,High,Negative
My complaint was taken seriously and resolved within 5 days.,Complaint,Student Affairs,Low,Positive
I paid the fee online but the portal still shows dues pending.,Finance,Finance Department,High,Negative
How do I register on the placement portal?,Placement,Placement Cell,Low,Neutral
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
My grievance has been ignored by the department for 16 weeks.,Complaint,Student Affairs,High,Negative
How do I get a duplicate ID card?,General,Help Desk,Low,Neutral
What is the process for obtaining a migration certificate?,General,Help Desk,Low,Neutral
The seat allotment letter has not been issued after 9 days of payment.,Admission,Admission Department,Medium,Negative
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Low,Positive
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The placement cell kept us informed about every drive.,Placement,Placement Cell,Medium,Positive
The company I was placed in has deferred joining by 10 months.,Placement,Placement Cell,High,Negative
Wi-Fi in the hostel has not been working for 26 days.,Hostel,Hostel Department,Medium,Negative
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
Admission office is not responding to my emails for 16 days.,Admission,Admission Department,Medium,Negative
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
The placement cell has not updated the company list for this year.,Placement,Placement Cell,Medium,Negative
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
I received the scholarship amount before the semester began.,Scholarship,Scholarship Cell,Low,Positive
My fee refund has not been processed even after 10 months.,Finance,Finance Department,High,Negative
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
My fee refund has not been processed even after 7 months.,Finance,Finance Department,High,Negative
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
My email ID was not created even after 20 weeks of registration.,General,Help Desk,High,Negative
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
There has been no water supply in the hostel for 15 days.,Hostel,Hostel Department,High,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Low,Neutral
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
The company I was placed in has deferred joining by 14 months.,Placement,Placement Cell,High,Negative
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Medium,Positive
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
What is the procedure to vacate the hostel at year end?,Hostel,Hostel Department,Low,Neutral
How do I download my admit card from the portal?,Examination,Examination Department,Medium,Neutral
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,Medium,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
How do I get a duplicate ID card?,General,Help Desk,Medium,Neutral
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,Medium,Negative
My admission application has been pending for 30 weeks with no update.,Admission,Admission Department,High,Negative
How do I download my admit card from the portal?,Examination,Examination Department,Medium,Neutral
"I received my ID card within 18 days, thank you.",General,Help Desk,Low,Positive
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
When is the scholarship application portal open?,Scholarship,Scholarship Cell,Low,Neutral
My ID card has not been issued even after 28 weeks of joining.,General,Help Desk,Medium,Negative
My application was rejected without any reason given.,Admission,Admission Department,High,Negative
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
The help desk is not responding to my queries.,General,Help Desk,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Medium,Neutral
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
